subject,n,strict_correct,strict_acc,pipeline_correct,pipeline_acc,truncated,loops,mean_chars
Accounting,30,24,80.00,23,76.67,4,2,18183
Agriculture,30,15,50.00,17,56.67,0,0,1122
Architecture_and_Engineering,30,12,40.00,13,43.33,12,10,46275
Art,30,19,63.33,18,60.00,1,1,5153
Art_Theory,30,23,76.67,24,80.00,1,1,5254
Basic_Medical_Science,30,24,80.00,22,73.33,0,0,1779
Biology,30,14,46.67,15,50.00,1,1,6694
Chemistry,30,15,50.00,14,46.67,2,2,13708
Clinical_Medicine,30,16,53.33,16,53.33,0,0,2400
Computer_Science,30,16,53.33,18,60.00,1,1,10174
Design,30,25,83.33,25,83.33,1,1,5081
Diagnostics_and_Laboratory_Medicine,30,11,36.67,11,36.67,0,0,2204
Economics,30,26,86.67,26,86.67,0,0,2235
Electronics,30,17,56.67,15,50.00,5,5,26321
Energy_and_Power,30,20,66.67,21,70.00,12,5,45438
Finance,30,20,66.67,24,80.00,1,1,8284
Geography,30,18,60.00,18,60.00,3,3,13435
History,30,19,63.33,22,73.33,1,1,7192
Literature,30,23,76.67,23,76.67,0,0,1045
Manage,30,17,56.67,18,60.00,1,1,6666
Marketing,30,25,83.33,26,86.67,0,0,2163
Materials,30,14,46.67,16,53.33,8,8,36479
Math,30,18,60.00,19,63.33,3,2,15357
Mechanical_Engineering,30,12,40.00,17,56.67,13,9,54855
Music,30,7,23.33,6,20.00,6,5,26772
Pharmacy,30,26,86.67,27,90.00,0,0,3155
Physics,30,25,83.33,24,80.00,0,0,4770
Psychology,30,21,70.00,24,80.00,0,0,2141
Public_Health,30,25,83.33,25,83.33,1,1,6717
Sociology,30,20,66.67,20,66.67,0,0,1619
